SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,game_date_reference,mean_sentiment,positive_sentiment_ratio,negative_sentiment_ratio,mention_count
22023,1630162,22300443,"DEC 30, 2023",MIN vs. LAL,W,38,10,23,0.435,2,8,0.25,9,11,0.818,0,3,3,3,0,3,3,3,31,8,1,2023-12-30,0.0,0.0,0.0,0.0
22023,1630162,22300423,"DEC 28, 2023",MIN vs. DAL,W,38,12,23,0.522,6,11,0.545,14,18,0.778,0,3,3,4,3,1,6,2,44,11,1,2023-12-28,0.0,0.0,0.0,0.0
22023,1630162,22300411,"DEC 26, 2023",MIN @ OKC,L,34,7,16,0.438,2,5,0.4,9,13,0.692,1,6,7,6,1,0,4,3,25,-16,1,2023-12-26,0.0,0.0,0.0,0.0
22023,1630162,22300400,"DEC 23, 2023",MIN @ SAC,W,39,13,27,0.481,3,12,0.25,5,5,1.0,0,5,5,10,1,1,5,1,34,8,1,2023-12-23,0.0,0.0,0.0,0.0
22023,1630162,22300380,"DEC 21, 2023",MIN vs. LAL,W,38,9,19,0.474,2,6,0.333,7,8,0.875,0,7,7,5,3,1,5,0,27,2,1,2023-12-21,0.0,0.0,0.0,0.0
22023,1630162,22300367,"DEC 20, 2023",MIN @ PHI,L,36,9,20,0.45,2,6,0.333,7,8,0.875,1,6,7,5,0,0,1,2,27,-10,1,2023-12-20,0.0,0.0,0.0,0.0
22023,1630162,22300353,"DEC 18, 2023",MIN @ MIA,W,40,13,25,0.52,2,9,0.222,4,4,1.0,0,8,8,5,3,2,1,1,32,6,1,2023-12-18,0.0,0.0,0.0,0.0
22023,1630162,22300338,"DEC 16, 2023",MIN vs. IND,W,34,14,23,0.609,7,10,0.7,2,2,1.0,0,2,2,4,3,0,4,3,37,17,1,2023-12-16,0.0,0.0,0.0,0.0
22023,1630162,22300321,"DEC 14, 2023",MIN @ DAL,W,35,3,19,0.158,0,3,0.0,3,6,0.5,1,1,2,11,2,0,5,2,9,20,1,2023-12-14,0.0,0.0,0.0,0.0
22023,1630162,22301221,"DEC 08, 2023",MIN @ MEM,W,4,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,0,-3,1,2023-12-08,0.0,0.0,0.0,0.0
22023,1630162,22301210,"DEC 06, 2023",MIN vs. SAS,W,37,4,17,0.235,2,5,0.4,7,8,0.875,1,6,7,6,1,1,3,2,17,14,1,2023-12-06,0.0,0.0,0.0,0.0
22023,1630162,22300058,"NOV 28, 2023",MIN vs. OKC,W,28,7,16,0.438,3,6,0.5,4,6,0.667,0,5,5,1,0,1,2,2,21,0,1,2023-11-28,0.0,0.0,0.0,0.0
22023,1630162,22300249,"NOV 26, 2023",MIN @ MEM,W,34,8,14,0.571,1,4,0.25,7,7,1.0,0,5,5,7,0,1,2,3,24,23,1,2023-11-26,0.0,0.0,0.0,0.0
22023,1630162,22300050,"NOV 24, 2023",MIN vs. SAC,L,40,8,21,0.381,2,9,0.222,17,18,0.944,0,7,7,5,2,2,4,2,35,5,1,2023-11-24,0.0,0.0,0.0,0.0
22023,1630162,22300232,"NOV 22, 2023",MIN vs. PHI,W,36,11,22,0.5,5,9,0.556,4,4,1.0,2,4,6,6,2,0,2,2,31,19,1,2023-11-22,0.0,0.0,0.0,0.0
22023,1630162,22300221,"NOV 20, 2023",MIN vs. NYK,W,39,9,21,0.429,1,6,0.167,4,4,1.0,2,8,10,5,2,0,3,1,23,9,1,2023-11-20,0.0,0.0,0.0,0.0
22023,1630162,22300203,"NOV 18, 2023",MIN @ NOP,W,30,9,19,0.474,5,10,0.5,0,0,0.0,0,3,3,4,0,0,3,6,23,13,1,2023-11-18,0.0,0.0,0.0,0.0
22023,1630162,22300197,"NOV 15, 2023",MIN @ PHX,L,31,4,16,0.25,1,3,0.333,4,4,1.0,1,3,4,4,1,1,1,0,13,-29,1,2023-11-15,0.0,0.0,0.0,0.0
22023,1630162,22300025,"NOV 14, 2023",MIN @ GSW,W,36,7,16,0.438,3,6,0.5,3,5,0.6,0,4,4,4,3,0,5,1,20,-9,1,2023-11-14,0.0,0.0,0.0,0.0
22023,1630162,22300186,"NOV 12, 2023",MIN @ GSW,W,38,11,27,0.407,1,9,0.111,10,10,1.0,1,5,6,7,2,0,4,0,33,15,1,2023-11-12,0.0,0.0,0.0,0.0
22023,1630162,22300013,"NOV 10, 2023",MIN @ SAS,W,37,9,21,0.429,2,8,0.25,8,11,0.727,2,5,7,5,2,1,4,1,28,3,1,2023-11-10,0.0,0.0,0.0,0.0
22023,1630162,22300166,"NOV 08, 2023",MIN vs. NOP,W,33,10,22,0.455,2,8,0.25,4,5,0.8,0,3,3,8,3,2,3,1,26,35,1,2023-11-08,0.0,0.0,0.0,0.0
22023,1630162,22300154,"NOV 06, 2023",MIN vs. BOS,W,38,15,25,0.6,2,8,0.25,6,7,0.857,0,9,9,7,1,0,3,5,38,18,1,2023-11-06,0.0,0.0,0.0,0.0
22023,1630162,22300138,"NOV 04, 2023",MIN vs. UTA,W,36,13,19,0.684,2,4,0.5,3,5,0.6,0,8,8,6,1,0,6,0,31,27,1,2023-11-04,0.0,0.0,0.0,0.0
22023,1630162,22300123,"NOV 01, 2023",MIN vs. DEN,W,32,8,16,0.5,1,4,0.25,7,8,0.875,0,2,2,1,2,0,4,1,24,11,1,2023-11-01,0.0,0.0,0.0,0.0
22023,1630162,22300104,"OCT 30, 2023",MIN @ ATL,L,38,13,21,0.619,5,8,0.625,0,1,0.0,0,5,5,7,1,0,5,4,31,-9,1,2023-10-30,0.0,0.0,0.0,0.0
22023,1630162,22300093,"OCT 28, 2023",MIN vs. MIA,W,33,7,15,0.467,3,5,0.6,2,2,1.0,0,2,2,7,0,0,2,3,19,21,1,2023-10-28,0.0,0.0,0.0,0.0
22023,1630162,22300069,"OCT 25, 2023",MIN @ TOR,L,38,8,27,0.296,4,7,0.571,6,6,1.0,5,9,14,1,0,0,2,1,26,0,1,2023-10-25,0.0,0.0,0.0,0.0
